valuedatetime,datavalue,dataqualitycode,variable,units,sitecode,sitename
2018-05-04 22:15:00,2.45,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 22:30:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 22:30:00,2.62,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 22:45:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 22:45:00,3.19,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 23:00:00,3.16,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 23:00:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 23:15:00,2.94,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 23:15:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 23:30:00,3.23,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 23:30:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 23:45:00,3.54,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-04 23:45:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-05 00:00:00,3.23,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-05 00:00:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-05 00:15:00,2.5,Bad,Chlorophyll A (Probe),ug/l,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
2018-05-05 00:15:00,,Good,Chlorophyll A (Probe),rfu,GRBULB,GREAT BAY ESTUARY - UPPER LITTLE BAY
