valuedatetime,Month,datavalue,variable,units,sitecode,sitename,site-variable,year
11/13/2002 12:15,,11,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2002
11/13/2002 13:15,,10.5,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2002
4/16/2003 5:30,,15.2,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
4/16/2003 6:30,,11.5,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
4/16/2003 11:30,,20,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
4/16/2003 12:30,,26.5,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
5/5/2003 8:30,,7.5,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
5/5/2003 9:30,,12.8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
5/5/2003 13:00,,8.5,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
5/5/2003 14:00,,10.2,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
6/3/2003 12:00,,4.3,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
6/3/2003 13:00,,4.5,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
6/4/2003 8:30,,14.2,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
6/4/2003 9:30,,5.2,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
7/2/2003 8:00,,10.3,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
7/2/2003 9:00,,20.6,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
8/13/2003 7:30,,10.3,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
8/13/2003 8:30,,10.3,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
8/13/2003 11:00,,14.3,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
8/13/2003 12:00,,22.7,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
9/30/2003 8:30,,45.2,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
9/30/2003 9:30,,34,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
9/30/2003 12:30,,8.8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
9/30/2003 13:30,,6.2,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
11/3/2003 7:30,,39,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
11/3/2003 8:30,,38.7,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
11/3/2003 11:00,,36.3,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
11/3/2003 12:00,,36,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
11/26/2003 7:30,,11.8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
11/26/2003 8:30,,14.6,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
11/26/2003 11:00,,32.8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
11/26/2003 12:00,,32.4,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2003
4/6/2004 10:45,,37,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
4/6/2004 11:45,,40,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
4/6/2004 14:25,,32,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
4/6/2004 15:25,,33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
6/29/2004 9:10,,22.2,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
6/29/2004 10:10,,20.8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
6/29/2004 14:32,,12.8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
6/29/2004 15:32,,13.2,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
7/28/2004 8:20,,17,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
7/28/2004 9:20,,14,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
7/28/2004 14:20,,12.8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
7/28/2004 15:20,,12,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
8/27/2004 9:48,,7.8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
8/27/2004 10:48,,13.2,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
8/27/2004 15:22,,23.5,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
8/27/2004 16:22,,14.8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
11/23/2004 9:48,,18.7,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
11/23/2004 10:48,,16,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
11/23/2004 13:40,,19.3,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
11/23/2004 14:40,,19.7,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
12/21/2004 8:50,,11,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
12/21/2004 9:50,,1.3,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
12/21/2004 13:00,,8,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
12/21/2004 14:00,,5.3,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2004
4/28/2005 9:50,,16.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
4/28/2005 10:50,,16.33,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
4/28/2005 14:33,,6,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
4/28/2005 15:33,,8.67,"Solids, Suspended",mg/l,GRBCML,GREAT BAY ESTUARY - COASTAL MARINE LABORATORY,"GRBCML - Solids, Suspended - mg/l",2005
