"Year","Alex","Large_PN","Small_PN"
2017,67.5,4342.5,3367.5
2018,45,1762.5,20850
2019,1807.5,4110,3307.5
2020,30,26767.5,1150000
2021,22.5,487.5,720
2022,7.5,577.5,232.5
