Location,Year,Alex,Large_PN,Small_PN
CML,2017,420,5317.5,5910
CML,2018,90,3945,6465
CML,2019,1725,9022.5,7837.5
CML,2020,90,60112.5,460332.5
CML,2021,97.5,8115,2850
CML,2022,0,210,1635
Hampton,2017,277.5,17070,15457.5
Hampton,2018,105,10477.5,42945
Hampton,2019,4785,12592.5,9975
Hampton,2020,30,124125,2336900
Hampton,2021,52.5,1935,1500
Hampton,2022,7.5,1282.5,232.5
