"fct_inorder.MY.","phosphorus","silica","tss","chla","nitrogen","salinity","temperature","N.P","species.sum","abundance.sum","species.avg","abundance.avg"
"Aug - 2020",0.04206,NA,NA,6.22241,0.0204,31.1333333333333,19.75,0.485021398002853,"Large_PN.Sum.",960,"Alex.avg.",0
"Sep - 2020",0.03587,NA,NA,15.44574,0.0307,31.2039465463381,20.5,0.855868413716197,"Large_PN.Sum.",13822.5,"Alex.avg.",0
"Oct - 2020",0.02488,NA,NA,2.06035666666667,0.0647,31.1345549210615,12.5,2.60048231511254,"Large_PN.Sum.",20850,"Alex.avg.",0
"Nov - 2020",0.02294,NA,NA,4.09283,0.1196,29.1561992363763,6.8,5.21360069747167,"Large_PN.Sum.",13312.5,"Alex.avg.",0
"Dec - 2020",0.0301166666666667,NA,NA,1.56288,0.153633333333333,23.186012195122,NA,5.10127282789152,"Large_PN.Sum.",922.5,"Alex.avg.",0
"Jan - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",135,"Alex.avg.",0
"Feb - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",0,"Alex.avg.",0
"Mar - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",105,"Alex.avg.",0
"Apr - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",0,"Alex.avg.",9.375
"May - 2021",NA,NA,NA,NA,NA,31,11,NA,"Large_PN.Sum.",0,"Alex.avg.",7.5
"Jun - 2021",NA,NA,NA,NA,NA,31.7,14.2111111111111,NA,"Large_PN.Sum.",6442.5,"Alex.avg.",3.75
"Jul - 2021",NA,NA,NA,NA,NA,28.55,18.025,NA,"Large_PN.Sum.",690,"Alex.avg.",0
"Aug - 2021",NA,NA,NA,NA,NA,29.55,19.475,NA,"Large_PN.Sum.",127.5,"Alex.avg.",1.875
"Sep - 2021",NA,NA,NA,NA,NA,32.5,17.9,NA,"Large_PN.Sum.",97.5,"Alex.avg.",0
"Oct - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",0,"Alex.avg.",0
"Nov - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",60,"Alex.avg.",0
"Dec - 2021",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",457.5,"Alex.avg.",0
"Jan - 2022",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",210,"Alex.avg.",0
"Feb - 2022",NA,NA,NA,NA,NA,NA,NA,NA,"Large_PN.Sum.",0,"Alex.avg.",0
"Dec - 2019",0.022,NA,16.8,1.25,0.144333333333333,23.231718061674,1.6,6.56060606060605,"Large_PN.Sum.",NA,"Alex.avg.",NA
"Jan - 2017",NA,NA,NA,NA,NA,30.3299748110831,5.19496221662468,NA,"Large_PN.Sum.",NA,"Alex.avg.",NA
"Feb - 2017",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",0,"Alex.avg.",0
"Mar - 2017",NA,NA,NA,NA,NA,NA,NA,NA,"Small_PN.Sum.",60,"Alex.avg.",3
"Apr - 2017",0.007605,0.808,17.85714,9.55119,0.0524,24.7875299760192,8.47122302158273,6.89020381328074,"Small_PN.Sum.",0,"Alex.avg.",7.5
"May - 2017",0.01303,0.636,18.392855,1.30355,0.0575,26.1088985896575,9.60967092008059,4.41289332310054,"Small_PN.Sum.",0,"Alex.avg.",45
"Jun - 2017",0.0133825,0.8089225,17.67857,0.39386,0.055095,27.8919184820801,11.6704497540408,4.11694376984868,"Small_PN.Sum.",397.5,"Alex.avg.",24
"Jul - 2017",NA,0.85747,21.78571,1.511695,0.01563,30.001512780386,15.0417318727178,NA,"Small_PN.Sum.",120,"Alex.avg.",11.25
"Aug - 2017",0.01401,0.122026666666667,15,1.66749,0.12166,30.7313633310947,15.4547683008731,8.68379728765168,"Small_PN.Sum.",0,"Alex.avg.",7.5
"Sep - 2017",0.0178875,0.287375,NA,13.527815,0.1504075,30.8690492713393,15.2222761970854,8.40852550663871,"Small_PN.Sum.",1732.5,"Alex.avg.",0
"Oct - 2017",0.025245,NA,NA,1.71985,0.161275,31.2158252015274,13.1232074671192,6.38839374133492,"Small_PN.Sum.",1057.5,"Alex.avg.",0
"Nov - 2017",0.02035,0.46583,NA,0.836555,0.1535,29.6604586518416,8.87649305555555,7.54299754299754,"Small_PN.Sum.",645,"Alex.avg.",0
"Dec - 2017",0.0305975,0.4255475,NA,2.496185,0.254175,30.7046675621222,5.48556077904634,8.30705122967563,"Small_PN.Sum.",1897.5,"Alex.avg.",0
"Jan - 2018",NA,NA,NA,NA,NA,30.2441532258065,1.96389452332657,NA,"Small_PN.Sum.",142.5,"Alex.avg.",0
