Week #,Sample Date,Month,Day,Year,Station,Alexandrium         (cells/liter),PN Large (?3 um)            (cells/liter),PN Small (<3 um) (cells/liter)
16,4/17/2019,4,17,2019,HHHR2,0,0,0
17,4/23/2019,4,23,2019,HHHR2,0,0,0
18,5/1/2019,5,1,2019,HHHR2,15,0,0
19,5/8/2019,5,8,2019,HHHR2,15,0,0
20,5/15/2019,5,15,2019,HHHR2,285,165,30
21,5/21/2019,5,21,2019,HHHR2,22.5,37.5,22.5
22,5/29/2019,5,29,2019,HHHR2,150,15,0
23,6/3/2019,6,3,2019,HHHR2,502.5,0,0
24,6/11/2019,6,11,2019,HHHR2,307.5,592.5,0
25,6/18/2019,6,18,2019,HHHR2,157.5,1695,135
26,6/25/2019,6,25,2019,HHHR2,307.5,0,0
27,7/2/2019,7,2,2019,HHHR2,1807.5,60,240
28,7/10/2019,7,10,2019,HHHR2,877.5,0,0
29,7/17/2019,7,17,2019,HHHR2,217.5,90,15
30,7/24/2019,7,24,2019,HHHR2,30,285,217.5
31,7/30/2019,7,30,2019,HHHR2,75,1440,1417.5
32,8/5/2019,8,5,2019,HHHR2,15,4110,855
33,8/15/2019,8,15,2019,HHHR2,0,,3307.5
34,8/19/2019,8,19,2019,HHHR2,0,885,67.5
35,8/26/2019,8,26,2019,HHHR2,0,172.5,15
36,9/3/2019,9,3,2019,HHHR2,0,645,0
37,9/12/2019,9,12,2019,HHHR2,0,360,120
38,9/17/2019,9,17,2019,HHHR2,0,892.5,705
39,9/23/2019,9,23,2019,HHHR2,0,382.5,457.5
40,10/1/2019,10,1,2019,HHHR2,0,240,60
41,10/7/2019,10,7,2019,HHHR2,0,0,712.5
42,10/14/2019,10,14,2019,HHHR2,0,90,135
43,10/22/2019,10,22,2019,HHHR2,0,202.5,937.5
44,10/30/2019,10,30,2019,HHHR2,0,150,217.5
45,11/4/2019,11,4,2019,HHHR2,0,0,97.5
46,11/11/2019,11,11,2019,HHHR2,0,60,210
47,11/19/2019,11,19,2019,HHHR2,0,0,0
49,12/4/2019,12,4,2019,HHHR2,0,0,0
6,2/4/2020,2,4,2020,HHHR2,0,180,277.5
7,2/12/2020,2,12,2020,HHHR2,0,30,397.5
8,2/18/2020,2,18,2020,HHHR2,0,180,1372.5
9,2/25/2020,2,25,2020,HHHR2,0,0,3247.5
10,3/4/2020,3,4,2020,HHHR2,0,405,5362.5
11,3/9/2020,3,9,2020,HHHR2,0,0,457.5
12,3/15/2020,3,15,2020,HHHR2,0,0,1597.5
13,3/23/2020,3,23,2020,HHHR2,0,0,397.5
14,3/30/2020,3,30,2020,HHHR2,0,0,532.5
15,4/6/2020,4,6,2020,HHHR2,0,0,0
16,4/13/2020,4,13,2020,HHHR2,0,0,22.5
17,4/20/2020,4,20,2020,HHHR2,0,0,30
18,4/27/2020,4,27,2020,HHHR2,0,0,37.5
19,5/4/2020,5,4,2020,HHHR2,0,0,817.5
20,5/13/2020,5,13,2020,HHHR2,30,0,150
21,5/21/2020,5,21,2020,HHHR2,0,4605,8475
22,5/26/2020,5,26,2020,HHHR2,0,0,
22,5/27/2020,5,27,2020,HHHR2,,,1150000
23,6/1/2020,6,1,2020,HHHR2,0,2025,520000
24,6/8/2020,6,8,2020,HHHR2,0,120,420000
25,6/15/2020,6,15,2020,HHHR2,0,0,8670
26,6/22/2020,6,22,2020,HHHR2,0,0,66562.5
27,6/29/2020,6,29,2020,HHHR2,0,0,85087.5
28,7/6/2020,7,6,2020,HHHR2,0,0,2032.5
29,7/13/2020,7,13,2020,HHHR2,0,0,285
30,7/20/2020,7,20,2020,HHHR2,0,750,6915
31,7/27/2020,7,27,2020,HHHR2,0,705,16567.5
32,8/3/2020,8,3,2020,HHHR2,0,517.5,1237.5
33,8/10/2020,8,10,2020,HHHR2,0,1530,3442.5
34,8/17/2020,8,17,2020,HHHR2,0,82.5,97.5
35,8/24/2020,8,24,2020,HHHR2,0,337.5,615
36,8/31/2020,8,31,2020,HHHR2,0,90,390
37,9/11/2020,9,11,2020,HHHR2,0,795,12802.5
38,9/14/2020,9,14,2020,HHHR2,0,4942.5,9337.5
39,9/21/2020,9,21,2020,HHHR2,0,3172.5,2032.5
40,9/28/2020,9,28,2020,HHHR2,0,540,270
41,10/5/2020,10,5,2020,HHHR2,0,20887.5,15
42,10/12/2020,10,12,2020,HHHR2,0,10905,307.5
43,10/19/2020,10,19,2020,HHHR2,0,6787.5,637.5
44,10/26/2020,10,26,2020,HHHR2,0,1320,390
45,11/2/2020,11,2,2020,HHHR2,0,82.5,45
46,11/9/2020,11,9,2020,HHHR2,0,1470,210
47,11/16/2020,11,16,2020,HHHR2,0,8400,0
48,11/24/2020,11,24,2020,HHHR2,0,26767.5,0
49,11/29/2020,11,29,2020,HHHR2,0,22605,2220
50,12/7/2020,12,7,2020,HHHR2,0,1560,0
51,12/14/2020,12,14,2020,HHHR2,0,1792.5,3000
52,12/21/2020,12,21,2020,HHHR2,0,187.5,0
53,12/28/2020,12,28,2020,HHHR2,0,352.5,555
2,1/3/2021,1,3,2021,HHHR2,0,292.5,457.5
3,1/11/2021,1,11,2021,HHHR2,0,180,157.5
4,1/18/2021,1,18,2021,HHHR2,0,0,720
5,1/25/2021,1,25,2021,HHHR2,0,300,67.5
6,2/1/2021,2,1,2021,HHHR2,0,45,0
7,2/10/2021,2,10,2021,HHHR2,0,0,0
8,2/15/2021,2,15,2021,HHHR2,0,0,0
9,2/22/2021,2,22,2021,HHHR2,0,0,0
10,3/1/2021,3,1,2021,HHHR2,0,0,0
11,3/8/2021,3,8,2021,HHHR2,0,0,0
12,3/15/2021,3,15,2021,HHHR2,0,0,0
13,3/22/2021,3,22,2021,HHHR2,0,0,60
14,3/29/2021,3,29,2021,HHHR2,0,225,0
15,4/6/2021,4,6,2021,HHHR2,22.5,0,0
16,4/12/2021,4,12,2021,HHHR2,7.5,0,0
17,4/19/2021,4,19,2021,HHHR2,22.5,0,0
18,4/26/2021,4,26,2021,HHHR2,0,0,0
22,5/24/2021,5,24,2021,HHHR2,0,0,0
24,6/6/2021,6,6,2021,HHHR2,0,0,0
25,6/13/2021,6,13,2021,HHHR2,,,
26,6/20/2021,6,20,2021,HHHR2,,,
27,6/27/2021,6,27,2021,HHHR2,,,
28,7/4/2021,7,4,2021,HHHR2,,,
29,7/11/2021,7,11,2021,HHHR2,,,
30,7/18/2021,7,18,2021,HHHR2,,,
31,7/25/2021,7,25,2021,HHHR2,,,
32,8/1/2021,8,1,2021,HHHR2,,,
33,8/8/2021,8,8,2021,HHHR2,,,
34,8/15/2021,8,15,2021,HHHR2,,,
35,8/22/2021,8,22,2021,HHHR2,,,
36,8/29/2021,8,29,2021,HHHR2,,,
37,9/5/2021,9,5,2021,HHHR2,,,
38,9/12/2021,9,12,2021,HHHR2,,,
39,9/19/2021,9,19,2021,HHHR2,0,0,37.5
40,9/26/2021,9,26,2021,HHHR2,0,0,0
41,10/4/2021,10,4,2021,HHHR2,,,
42,10/10/2021,10,10,2021,HHHR2,,,
43,10/17/2021,10,17,2021,HHHR2,,,
44,10/24/2021,10,24,2021,HHHR2,,,
45,10/31/2021,10,31,2021,HHHR2,,,
46,11/7/2021,11,7,2021,HHHR2,,,
47,11/14/2021,11,14,2021,HHHR2,,,
48,11/21/2021,11,21,2021,HHHR2,0,82.5,0
49,11/28/2021,11,28,2021,HHHR2,0,165,0
50,12/5/2021,12,5,2021,HHHR2,0,487.5,0
51,12/12/2021,12,12,2021,HHHR2,0,0,0
52,12/19/2021,12,19,2021,HHHR2,0,52.5,0
53,12/26/2021,12,26,2021,HHHR2,0,105,0
2,1/2/2022,1,2,2022,HHHR2,7.5,172.5,0
3,1/9/2022,1,9,2022,HHHR2,0,187.5,0
4,1/16/2022,1,16,2022,HHHR2,0,577.5,0
5,1/23/2022,1,23,2022,HHHR2,0,300,0
6,1/30/2022,1,30,2022,HHHR2,0,15,0
7,2/6/2022,2,6,2022,HHHR2,,,
8,2/13/2022,2,13,2022,HHHR2,0,30,232.5
9,2/20/2022,2,20,2022,HHHR2,0,0,60
10,2/27/2022,2,27,2022,HHHR2,0,0,397.5
11,3/6/2022,3,6,2022,HHHR2,0,112.5,2977.5
12,3/13/2022,3,13,2022,HHHR2,7.5,0,13425
13,3/20/2022,3,20,2022,HHHR2,0,0,15172.5
14,3/27/2022,3,27,2022,HHHR2,22.5,315,525
15,4/3/2022,4,3,2022,HHHR2,7.5,382.5,7.5
16,4/10/2022,4,10,2022,HHHR2,0,7.5,0
17,4/17/2022,4,17,2022,HHHR2,0,0,0
18,4/24/2022,4,24,2022,HHHR2,0,0,0
19,5/1/2022,5,1,2022,HHHR2,7.5,0,0
20,5/8/2022,5,8,2022,HHHR2,0,0,0
21,5/15/2022,5,15,2022,HHHR2,82.5,0,0
22,5/22/2022,5,22,2022,HHHR2,75,127.5,0
23,5/29/2022,5,29,2022,HHHR2,22.5,0,0
24,6/5/2022,6,5,2022,HHHR2,37.5,30,0
25,6/12/2022,6,12,2022,HHHR2,5902.5,52.5,0
26,6/19/2022,6,19,2022,HHHR2,,,
27,6/26/2022,6,26,2022,HHHR2,675,0,0
28,7/3/2022,7,3,2022,HHHR2,82.5,0,1155
29,7/10/2022,7,10,2022,HHHR2,742.5,82.5,232.5
30,7/17/2022,7,17,2022,HHHR2,45,0,0
31,7/24/2022,7,24,2022,HHHR2,210,105,5850
32,7/31/2022,7,31,2022,HHHR2,180,0,0
33,8/7/2022,8,7,2022,HHHR2,15,0,0
34,8/14/2022,8,14,2022,HHHR2,0,0,0
35,8/21/2022,8,21,2022,HHHR2,0,0,30
36,8/28/2022,8,28,2022,HHHR2,0,0,0
