"Year","Alex","Large_PN","Small_PN"
2017,277.5,17070,15457.5
2018,105,10477.5,42945
2019,4785,12592.5,9975
2020,30,124125,2336900
2021,52.5,1935,1500
2022,7.5,1282.5,232.5
